Total Rating Counts,Average of Ratings,Max Number of Reviews,Average Number of Reviews,city_sort,interest_sort
20,4.59,1247.0,407.0,"Burlington,  VT",restaurant
11,3.36,3501.0,610.73,"Burlington,  VT",shopping_mall
20,4.1,53.0,17.75,"Burlington,  VT",spa
11,3.71,261.0,78.82,"Burlington,  VT",stadium
5,3.62,941.0,272.2,"Burlington,  VT",zoo
8,4.54,1759.0,682.88,"Charleston,  SC",amusement_park
20,4.58,1583.0,431.2,"Charleston,  SC",bar
20,4.56,1030.0,404.3,"Charleston,  SC",cafe
15,3.65,1060.0,179.33,"Charleston,  SC",casino
20,4.47,1100.0,402.75,"Charleston,  SC",hotel
20,4.54,4946.0,952.75,"Charleston,  SC",museum
20,4.15,1000.0,296.4,"Charleston,  SC",night_club
20,4.65,3949.0,1040.35,"Charleston,  SC",restaurant
20,3.99,4528.0,664.25,"Charleston,  SC",shopping_mall
20,4.65,276.0,52.75,"Charleston,  SC",spa
19,3.82,2327.0,371.0,"Charleston,  SC",stadium
14,4.36,9922.0,1417.0,"Charleston,  SC",zoo
1,4.5,14897.0,14897.0,"Charlotte,  NC",amusement_park
20,4.5,1265.0,435.95,"Charlotte,  NC",bar
20,4.56,4400.0,714.2,"Charlotte,  NC",cafe
20,3.65,11942.0,773.85,"Charlotte,  NC",casino
20,4.37,2148.0,948.25,"Charlotte,  NC",hotel
20,4.56,2991.0,561.8,"Charlotte,  NC",museum
20,3.58,217.0,78.7,"Charlotte,  NC",night_club
20,4.58,1768.0,570.05,"Charlotte,  NC",restaurant
9,4.29,5718.0,1941.11,"Charlotte,  NC",shopping_mall
20,4.59,247.0,87.25,"Charlotte,  NC",spa
7,4.46,5665.0,2060.0,"Charlotte,  NC",stadium
20,4.57,14897.0,2296.05,"Charlotte,  NC",zoo
1,4.3,2430.0,2430.0,"Chattanooga,  TN",amusement_park
20,4.46,1254.0,579.0,"Chattanooga,  TN",bar
20,4.6,2545.0,429.4,"Chattanooga,  TN",cafe
4,3.35,1385.0,617.25,"Chattanooga,  TN",casino
20,4.03,3148.0,718.85,"Chattanooga,  TN",hotel
19,4.41,3148.0,564.63,"Chattanooga,  TN",museum
20,3.59,631.0,134.05,"Chattanooga,  TN",night_club
20,4.57,2004.0,933.2,"Chattanooga,  TN",restaurant
20,4.01,6259.0,732.0,"Chattanooga,  TN",shopping_mall
20,4.65,225.0,46.15,"Chattanooga,  TN",spa
6,4.38,972.0,407.17,"Chattanooga,  TN",stadium
1,4.4,2833.0,2833.0,"Chattanooga,  TN",zoo
20,4.53,3045.0,643.6,"Chicago,  IL",bar
20,4.44,3626.0,622.65,"Chicago,  IL",cafe
20,3.44,5151.0,691.1,"Chicago,  IL",casino
20,4.45,7594.0,2362.6,"Chicago,  IL",hotel
20,4.57,17325.0,3386.65,"Chicago,  IL",museum
20,3.63,713.0,244.4,"Chicago,  IL",night_club
20,4.62,3948.0,1441.75,"Chicago,  IL",restaurant
10,3.68,3053.0,969.1,"Chicago,  IL",shopping_mall
20,4.45,440.0,101.85,"Chicago,  IL",spa
20,3.66,21810.0,2718.8,"Chicago,  IL",stadium
17,4.46,14983.0,1623.53,"Chicago,  IL",zoo
1,4.5,3675.0,3675.0,"Cincinnati,  OH",amusement_park
20,4.52,1785.0,428.2,"Cincinnati,  OH",bar
20,4.59,1223.0,317.15,"Cincinnati,  OH",cafe
6,3.75,5415.0,2094.17,"Cincinnati,  OH",casino
20,4.17,2533.0,892.5,"Cincinnati,  OH",hotel
20,4.62,6252.0,879.2,"Cincinnati,  OH",museum
20,4.14,1098.0,180.85,"Cincinnati,  OH",night_club
20,4.6,2158.0,739.9,"Cincinnati,  OH",restaurant
8,3.96,3407.0,1301.62,"Cincinnati,  OH",shopping_mall
20,4.56,559.0,97.45,"Cincinnati,  OH",spa
20,3.99,7915.0,805.5,"Cincinnati,  OH",stadium
10,3.65,12167.0,1230.3,"Cincinnati,  OH",zoo
1,4.4,628.0,628.0,"Cleveland,  OH",amusement_park
20,4.46,874.0,351.0,"Cleveland,  OH",bar
20,4.56,856.0,271.2,"Cleveland,  OH",cafe
9,4.06,6824.0,1782.56,"Cleveland,  OH",casino
20,4.16,2346.0,986.7,"Cleveland,  OH",hotel
20,4.56,10228.0,1272.6,"Cleveland,  OH",museum
20,4.14,375.0,80.3,"Cleveland,  OH",night_club
20,4.6,2335.0,745.85,"Cleveland,  OH",restaurant
3,3.67,1326.0,627.67,"Cleveland,  OH",shopping_mall
20,4.04,244.0,51.6,"Cleveland,  OH",spa
4,4.3,8950.0,5106.25,"Cleveland,  OH",stadium
1,4.6,9013.0,9013.0,"Cleveland,  OH",zoo
20,4.46,857.0,343.5,"Columbia,  SC",bar
20,4.48,1228.0,320.7,"Columbia,  SC",cafe
5,4.34,893.0,201.6,"Columbia,  SC",casino
20,4.14,1356.0,452.15,"Columbia,  SC",hotel
20,3.65,1888.0,221.4,"Columbia,  SC",museum
20,3.82,1343.0,139.05,"Columbia,  SC",night_club
20,4.56,1588.0,655.8,"Columbia,  SC",restaurant
6,4.17,4137.0,1370.67,"Columbia,  SC",shopping_mall
20,4.32,130.0,45.65,"Columbia,  SC",spa
12,4.28,1650.0,344.0,"Columbia,  SC",stadium
2,4.75,9922.0,6068.5,"Columbia,  SC",zoo
1,2.5,187.0,187.0,"Columbus,  OH",amusement_park
20,4.42,1806.0,453.6,"Columbus,  OH",bar
20,4.54,1298.0,365.5,"Columbus,  OH",cafe
16,3.44,7400.0,851.38,"Columbus,  OH",casino
20,4.32,2484.0,920.65,"Columbus,  OH",hotel
20,4.58,1518.0,194.8,"Columbus,  OH",museum
20,3.9,696.0,103.1,"Columbus,  OH",night_club
20,4.61,4935.0,1239.45,"Columbus,  OH",restaurant
7,3.76,4118.0,1575.14,"Columbus,  OH",shopping_mall
20,4.42,235.0,87.55,"Columbus,  OH",spa
9,4.61,4920.0,1698.11,"Columbus,  OH",stadium
4,4.6,17474.0,4800.25,"Columbus,  OH",zoo
1,4.4,16881.0,16881.0,"Dallas,  TX",amusement_park
20,4.5,6660.0,825.3,"Dallas,  TX",bar
20,4.44,1619.0,485.35,"Dallas,  TX",cafe
20,3.65,905.0,52.65,"Dallas,  TX",casino
20,4.34,5676.0,1917.9,"Dallas,  TX",hotel
20,4.53,8597.0,1269.1,"Dallas,  TX",museum
20,3.85,677.0,201.05,"Dallas,  TX",night_club
20,4.62,3867.0,871.05,"Dallas,  TX",restaurant
8,4.21,9468.0,1881.0,"Dallas,  TX",shopping_mall
20,4.36,150.0,56.4,"Dallas,  TX",spa
20,3.98,16846.0,1389.05,"Dallas,  TX",stadium
1,4.5,9440.0,9440.0,"Dallas,  TX",zoo
10,3.7,10403.0,1177.5,"Dayton,  OH",amusement_park
20,4.48,1790.0,470.4,"Dayton,  OH",bar
20,4.42,866.0,261.95,"Dayton,  OH",cafe
1,3.8,3576.0,3576.0,"Dayton,  OH",casino
20,4.06,1118.0,412.5,"Dayton,  OH",hotel
20,4.71,10380.0,780.45,"Dayton,  OH",museum
20,4.2,662.0,98.3,"Dayton,  OH",night_club
20,4.52,1597.0,675.3,"Dayton,  OH",restaurant
1,4.3,4135.0,4135.0,"Dayton,  OH",shopping_mall
20,4.6,390.0,71.4,"Dayton,  OH",spa
20,3.85,1807.0,207.2,"Dayton,  OH",stadium
3,4.6,1404.0,496.67,"Dayton,  OH",zoo
1,4.0,6656.0,6656.0,"Denver,  CO",amusement_park
20,4.55,6135.0,864.2,"Denver,  CO",bar
20,4.54,821.0,440.65,"Denver,  CO",cafe
20,3.76,7892.0,1164.85,"Denver,  CO",casino
20,4.38,4218.0,1374.6,"Denver,  CO",hotel
20,4.59,9629.0,1654.45,"Denver,  CO",museum
20,3.78,550.0,149.15,"Denver,  CO",night_club
20,4.64,3486.0,828.85,"Denver,  CO",restaurant
7,4.2,6014.0,2494.43,"Denver,  CO",shopping_mall
20,4.47,249.0,76.85,"Denver,  CO",spa
2,4.5,6783.0,3457.0,"Denver,  CO",stadium
3,4.57,11865.0,3984.33,"Denver,  CO",zoo
1,4.4,3280.0,3280.0,"Des Moines,  IA",amusement_park
20,4.42,1679.0,510.25,"Des Moines,  IA",bar
20,3.99,960.0,172.75,"Des Moines,  IA",cafe
2,4.5,4939.0,2470.0,"Des Moines,  IA",casino
20,4.1,1070.0,489.9,"Des Moines,  IA",hotel
20,4.36,2489.0,279.3,"Des Moines,  IA",museum
20,4.16,849.0,188.8,"Des Moines,  IA",night_club
20,4.57,4703.0,928.7,"Des Moines,  IA",restaurant
20,4.06,3263.0,618.8,"Des Moines,  IA",shopping_mall
20,4.1,494.0,45.3,"Des Moines,  IA",spa
9,4.53,2579.0,561.22,"Des Moines,  IA",stadium
1,4.5,2677.0,2677.0,"Des Moines,  IA",zoo
20,4.47,1705.0,571.7,"Detroit,  MI",bar
20,4.56,947.0,285.55,"Detroit,  MI",cafe
5,4.04,12693.0,6743.6,"Detroit,  MI",casino
20,4.16,12693.0,2210.15,"Detroit,  MI",hotel
20,4.61,12917.0,1334.7,"Detroit,  MI",museum
20,3.87,1127.0,140.95,"Detroit,  MI",night_club
20,4.52,3297.0,1187.05,"Detroit,  MI",restaurant
4,4.03,2127.0,733.0,"Detroit,  MI",shopping_mall
20,4.32,117.0,40.15,"Detroit,  MI",spa
12,4.45,13429.0,2671.58,"Detroit,  MI",stadium
2,4.55,11654.0,6173.0,"Detroit,  MI",zoo
2,4.2,1265.0,860.5,"El Paso,  TX",amusement_park
20,4.36,1469.0,407.2,"El Paso,  TX",bar
20,4.59,1249.0,325.0,"El Paso,  TX",cafe
7,4.26,3536.0,1070.57,"El Paso,  TX",casino
20,4.13,1232.0,517.8,"El Paso,  TX",hotel
20,4.55,783.0,188.05,"El Paso,  TX",museum
20,3.9,226.0,61.05,"El Paso,  TX",night_club
20,4.44,3827.0,1280.65,"El Paso,  TX",restaurant
20,4.11,7206.0,2140.95,"El Paso,  TX",shopping_mall
20,4.26,198.0,85.3,"El Paso,  TX",spa
20,4.23,1761.0,291.5,"El Paso,  TX",stadium
1,4.3,3531.0,3531.0,"El Paso,  TX",zoo
20,4.4,984.0,354.5,"Eugene,  OR",bar
20,4.49,577.0,204.15,"Eugene,  OR",cafe
11,4.34,2333.0,283.27,"Eugene,  OR",casino
20,4.28,1334.0,343.15,"Eugene,  OR",hotel
9,4.46,193.0,60.33,"Eugene,  OR",museum
17,4.08,1112.0,305.18,"Eugene,  OR",night_club
20,4.52,1364.0,524.65,"Eugene,  OR",restaurant
20,4.62,419.0,73.4,"Eugene,  OR",spa
8,4.41,1896.0,409.5,"Eugene,  OR",stadium
